,title,year,rating,metascore,director,stars,runtime(min),genre
53,Oliver!,1968,7.4,74.0,Carol Reed,"['Mark Lester', 'Ron Moody', 'Shani Wallis', 'Oliver Reed']",153,"Drama, Family, Musical"
54,In the Heat of the Night,1967,7.9,75.0,Norman Jewison,"['Sidney Poitier', 'Rod Steiger', 'Warren Oates', 'Lee Grant']",110,"Drama, Mystery, Thriller"
55,A Man for All Seasons,1966,7.7,72.0,Fred Zinnemann,"['Paul Scofield', 'Wendy Hiller', 'Robert Shaw', 'Leo McKern']",120,"Biography, Drama, History"
56,The Sound of Music,1965,8.1,63.0,Robert Wise,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn']",172,"Biography, Drama, Family"
57,My Fair Lady,1964,7.8,95.0,George Cukor,"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway', 'Wilfrid Hyde-White']",170,"Drama, Family, Musical"
58,Tom Jones,1963,6.4,77.0,Tony Richardson,"['Albert Finney', 'Susannah York', 'George Devine', 'Rachel Kempson']",129,"Adventure, Comedy, History"
59,Lawrence of Arabia,1962,8.3,100.0,T.E. Lawrence,"['David Lean', ""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']",218,"Adventure, Biography, Drama"
60,West Side Story,1961,7.6,86.0,Jerome Robbins,"['Robert Wise', 'Natalie Wood', 'George Chakiris', 'Richard Beymer', 'Russ Tamblyn']",153,"Crime, Drama, Musical"
61,The Apartment,1960,8.3,94.0,Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",125,"Comedy, Drama, Romance"
62,Ben-Hur,1959,8.1,90.0,William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']",212,"Adventure, Drama"
63,Gigi,1958,6.6,82.0,Vincente Minnelli,"['Charles Walters', 'Leslie Caron', 'Maurice Chevalier', 'Louis Jourdan', 'Hermione Gingold']",115,"Comedy, Musical, Romance"
64,The Bridge on the River Kwai,1957,8.2,87.0,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",161,"Adventure, Drama, War"
65,Around the World in 80 Days,1956,6.7,69.0,Michael Anderson,"['John Farrow', 'David Niven', 'Cantinflas', 'Finlay Currie', 'Robert Morley']",175,"Adventure, Comedy, Family"
66,Marty,1955,7.7,,Delbert Mann,"['Ernest Borgnine', 'Betsy Blair', 'Esther Minciotti', 'Augusta Ciolli']",90,"Drama, Romance"
67,On the Waterfront,1954,8.1,91.0,Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']",108,"Crime, Drama, Thriller"
68,From Here to Eternity,1953,7.6,85.0,Fred Zinnemann,"['Burt Lancaster', 'Montgomery Clift', 'Deborah Kerr', 'Donna Reed']",118,"Drama, Romance, War"
